strategy,expectation,timesteps_mean,movements_mean,n_qubits,n_samples,width,height,rounds,min_expectation
Path Algorithm with Waiting,0.9,58.666666666666664,92,6,5,3,3,5,0.9
Path Algorithm with Waiting,0.95,47.5,93.25,6,5,3,3,5,0.9
Path Algorithm with Waiting,1.0,32,92.8,6,5,3,3,5,0.9
Rotation Algorithm with Waiting,0.9,41.8,72.6,6,5,3,3,5,0.9
Rotation Algorithm with Waiting,0.95,37.8,73.2,6,5,3,3,5,0.9
Rotation Algorithm with Waiting,1.0,37,72,6,5,3,3,5,0.9
Path Algorithm with Waiting,0.4,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.45,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.5,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.55,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.6,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.65,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.7,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.75,nan,nan,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.8,67,91.9,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.85,65.13333333333334,93.11111111111111,6,100,3,3,5,0.8
Rotation Algorithm with Waiting,0.4,207.70833333333334,72.84722222222223,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.45,159.16867469879517,71.26506024096386,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.5,127.05555555555556,71.53333333333333,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.55,107.58947368421053,71.48421052631579,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.6,91.36363636363636,72.88636363636364,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.65,75.46236559139786,72.80645161290323,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.7,63.92553191489362,72.23404255319149,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.75,56.166666666666664,72.875,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.8,50.23232323232323,72.76767676767676,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.85,44.42857142857143,72.5204081632653,6,100,3,3,5,0.4
