strategy,expectation,timesteps_mean,movements_mean,n_qubits,n_samples,width,height,rounds,min_expectation
Rotation Algorithm with Cyles,0.1,nan,nan,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.15,442.05263157894734,71.05263157894737,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.2,356.2686567164179,71.91044776119403,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.25,253.2528735632184,71.55172413793103,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.3,188.15,71.575,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.35,148.8404255319149,70.45744680851064,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.4,120.76136363636364,71.28409090909091,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.45,104.3076923076923,72.043956043956044,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.5,86.97916666666667,72.666666666666664,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.55,78.39784946236558,71.45161290322581,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.6,65.95876288659794,71.09278350515464,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.65,60.638297872340424,72.07446808510639,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.7,55.33684210526316,73.2421052631579,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.75,51.3469387755102,73.1734693877551,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.8,47.20618556701031,73.03092783505154,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.85,42.71134020618557,72.3298969072165,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.9,39.42424242424242,72.12121212121212,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,0.95,37.16,73.09,6,100,3,3,5,0.1
Rotation Algorithm with Cyles,1.0,37.77,73.31,6,100,3,3,5,0.1
Rotation Algorithm with Waiting,0.1,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.15,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.2,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.25,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.3,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.35,nan,nan,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.4,207.70833333333334,72.84722222222223,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.45,159.16867469879517,71.26506024096386,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.5,127.05555555555556,71.53333333333333,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.55,107.58947368421053,71.48421052631579,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.6,91.36363636363636,72.88636363636364,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.65,75.46236559139786,72.80645161290323,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.7,63.92553191489362,72.23404255319149,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.75,56.166666666666664,72.875,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.8,50.23232323232323,72.76767676767676,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.85,44.42857142857143,72.5204081632653,6,100,3,3,5,0.4
Rotation Algorithm with Waiting,0.9,41.8,72.6,6,5,3,3,5,0.9
Rotation Algorithm with Waiting,0.95,37.8,73.2,6,5,3,3,5,0.9
Rotation Algorithm with Waiting,1.0,37,73.3,6,5,3,3,5,0.9
